model,params,params_json,f1
MLP,"layers=(256, 512, 1024)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(256, 512, 1024)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9880175415203638
MLP,"layers=(1024, 1024, 512)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 1024, 512)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9880170697645041
MLP,"layers=(512, 1024, 512)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(512, 1024, 512)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.988017067361995
MLP,"layers=(256, 256, 512)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(256, 256, 512)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9880167188717158
MLP,"layers=(256, 256, 512)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(256, 256, 512)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9880166641334326
MLP,"layers=(512, 256, 512)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 256, 512)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9880085360518949
MLP,"layers=(1024, 256, 256)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 256, 256)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9880082990043223
MLP,"layers=(1024, 256, 1024)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(1024, 256, 1024)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9880078957757599
MLP,"layers=(1024, 512, 1024)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 512, 1024)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9879992911965678
MLP,"layers=(1024, 256, 1024)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(1024, 256, 1024)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9879987670417101
MLP,"layers=(1024, 256, 1024)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 256, 1024)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9879810905878521
MLP,"layers=(512, 1024, 1024)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 1024, 1024)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9867102311759665
MLP,"layers=(512, 512, 256)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 512, 256)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9866930382091056
MLP,"layers=(1024, 1024, 512)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 1024, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9866918645127087
MLP,"layers=(1024, 512, 1024)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 512, 1024)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9866918645127087
MLP,"layers=(256, 1024)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(256, 1024)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9866918645127087
MLP,"layers=(1024, 1024, 512)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 1024, 512)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9866918645127087
MLP,"layers=(1024, 512)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(1024, 512)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9866918645127087
MLP,"layers=(512, 256, 512)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(512, 256, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9866918645127087
MLP,"layers=(512, 256, 512)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(512, 256, 512)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9866918645127087
MLP,"layers=(512, 1024, 512)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 1024, 512)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9866839094750556
MLP,"layers=(1024, 1024)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 1024)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.986683795693064
MLP,"layers=(256, 1024, 512)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(256, 1024, 512)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9866837932905549
MLP,"layers=(256, 256, 256)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(256, 256, 256)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9866837932905549
MLP,"layers=(512, 256, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 256, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9866833900619926
MLP,"layers=(512, 256, 256)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 256, 256)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9866833900619926
MLP,"layers=(1024, 256, 256)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(1024, 256, 256)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9866814001842225
MLP,"layers=(1024, 512, 1024)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 512, 1024)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9866752027185615
MLP,"layers=(1024, 1024, 512)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 1024, 512)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9866752027185615
MLP,"layers=(1024, 1024)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 1024)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9866752027185615
MLP,"layers=(512,)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(512,)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9866749632684797
MLP,"layers=(512,)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(512,)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9866749632684797
MLP,"layers=(512,)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512,)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9866749632684797
MLP,"layers=(512,)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512,)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9866749632684797
MLP,"layers=(512, 512, 512)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(512, 512, 512)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9866746669590142
MLP,"layers=(512, 512)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(512, 512)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9866745624424266
MLP,"layers=(256, 256, 1024)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(256, 256, 1024)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9866740859447725
MLP,"layers=(256, 512, 256)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(256, 512, 256)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9866740859447725
MLP,"layers=(512, 512, 256)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(512, 512, 256)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9866740859447725
MLP,"layers=(256, 512, 1024)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(256, 512, 1024)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9866740859447725
MLP,"layers=(256, 512, 512)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(256, 512, 512)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9866740859447725
MLP,"layers=(1024, 1024, 256)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 1024, 256)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9866740859447725
MLP,"layers=(256, 256, 1024)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(256, 256, 1024)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9866740859447725
MLP,"layers=(1024, 256, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 256, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9866740859447725
MLP,"layers=(512, 512, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 512, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9866740859447725
MLP,"layers=(256, 256, 256)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(256, 256, 256)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9866660171251276
MLP,"layers=(256, 1024, 256)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(256, 1024, 256)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9866650067645175
MLP,"layers=(512, 1024, 256)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(512, 1024, 256)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9866650067645175
MLP,"layers=(1024, 256, 256)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 256, 256)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9866649548082135
MLP,"layers=(256, 1024, 512)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(256, 1024, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9866649548082135
MLP,"layers=(1024, 1024, 1024)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 1024, 1024)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853852584481337
MLP,"layers=(256,)  act=ReLU  drop=0.0  lr=0.01","{""layers"": ""(256,)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.01}",0.9853764282710982
MLP,"layers=(256, 512)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(256, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853665613665613
MLP,"layers=(1024, 1024, 256)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 1024, 256)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853592899792966
MLP,"layers=(256, 1024, 512)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(256, 1024, 512)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853592899792966
MLP,"layers=(512, 1024)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 1024)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853592899792966
MLP,"layers=(256, 512)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(256, 512)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853585904412686
MLP,"layers=(256, 256, 512)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(256, 256, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853585904412686
MLP,"layers=(512, 256)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(512, 256)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853585904412686
MLP,"layers=(512, 256)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(512, 256)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853585904412686
MLP,"layers=(1024, 512, 1024)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(1024, 512, 1024)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853585904412686
MLP,"layers=(1024, 256)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 256)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853585904412686
MLP,"layers=(1024, 256, 1024)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 256, 1024)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9853585904412686
MLP,"layers=(256, 1024)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(256, 1024)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9853585904412686
MLP,"layers=(512, 256, 256)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(512, 256, 256)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9853572572493413
