model,params,params_json,f1
MLP,"layers=(256, 256, 512)  act=GELU  drop=0.4  lr=0.01","{""layers"": ""(256, 256, 512)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.01}",0.9920087114982887
SVM,C=0.001  kernel=linear,"{""C"": 0.001, ""kernel"": ""linear""}",0.9920084767900015
MLP,"layers=(1024, 256, 1024)  act=ReLU  drop=0.4  lr=0.01","{""layers"": ""(1024, 256, 1024)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.01}",0.9906927465782104
MLP,"layers=(512, 1024, 256)  act=ReLU  drop=0.2  lr=0.01","{""layers"": ""(512, 1024, 256)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.01}",0.9906923410103629
MLP,"layers=(512, 512)  act=GELU  drop=0.4  lr=0.01","{""layers"": ""(512, 512)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.01}",0.9906841489251376
MLP,"layers=(256, 512, 512)  act=ReLU  drop=0.4  lr=0.01","{""layers"": ""(256, 512, 512)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.01}",0.9906840327406365
MLP,"layers=(512, 256, 256)  act=ReLU  drop=0.4  lr=0.01","{""layers"": ""(512, 256, 256)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.01}",0.9906838572942425
SVM,C=100  kernel=linear,"{""C"": 100, ""kernel"": ""linear""}",0.9906753189030624
SVM,C=100  gamma=scale  kernel=sigmoid,"{""C"": 100, ""gamma"": ""scale"", ""kernel"": ""sigmoid""}",0.9906753189030624
SVM,C=10  kernel=linear,"{""C"": 10, ""kernel"": ""linear""}",0.9906753189030624
SVM,C=10  gamma=auto  kernel=sigmoid,"{""C"": 10, ""gamma"": ""auto"", ""kernel"": ""sigmoid""}",0.9906753189030624
SVM,C=10  gamma=scale  kernel=sigmoid,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""sigmoid""}",0.9906753189030624
SVM,C=0.1  kernel=linear,"{""C"": 0.1, ""kernel"": ""linear""}",0.9906753189030624
SVM,C=0.01  kernel=linear,"{""C"": 0.01, ""kernel"": ""linear""}",0.9906753189030624
SVM,C=1  kernel=linear,"{""C"": 1, ""kernel"": ""linear""}",0.9906753189030624
MLP,"layers=(256, 256)  act=ReLU  drop=0.4  lr=0.01","{""layers"": ""(256, 256)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.01}",0.9906750794529807
MLP,"layers=(1024, 256, 1024)  act=GELU  drop=0.2  lr=0.01","{""layers"": ""(1024, 256, 1024)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.01}",0.9906750794529807
MLP,"layers=(512, 512)  act=ReLU  drop=0.2  lr=0.01","{""layers"": ""(512, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.01}",0.9906750249328821
MLP,"layers=(1024, 256, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 256, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9906750201910877
