model,params,params_json,f1
MLP,"layers=(1024, 256)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(1024, 256)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9920085360518949
LogReg,C=0.01,"{""C"": 0.01}",0.9907014011538916
MLP,"layers=(1024, 256, 256)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 256, 256)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9906842081870306
MLP,"layers=(1024, 256, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 256, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9906842081870306
MLP,"layers=(512, 1024, 512)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(512, 1024, 512)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9906840327406365
MLP,"layers=(256,)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(256,)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9906840327406363
MLP,"layers=(1024, 256, 256)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 256, 256)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9906840327406363
MLP,"layers=(256, 256, 512)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(256, 256, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9906840327406363
MLP,"layers=(1024,)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(1024,)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9906840327406363
LogReg,C=0.1,"{""C"": 0.1}",0.9906840327406363
MLP,"layers=(1024,)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(1024,)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9906840327406363
MLP,"layers=(256,)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(256,)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9906840327406363
MLP,"layers=(1024,)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(1024,)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9906840327406363
MLP,"layers=(256,)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(256,)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9906840327406363
MLP,"layers=(256,)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(256,)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9906840327406363
MLP,"layers=(256, 256, 512)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(256, 256, 512)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9906840327406363
MLP,"layers=(256, 512)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(256, 512)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9906840327406363
MLP,"layers=(256,)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(256,)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9906840327406363
MLP,"layers=(256, 256, 512)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(256, 256, 512)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9906840327406363
MLP,"layers=(256,)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(256,)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9906840327406363
SVM,C=1  gamma=scale  kernel=sigmoid,"{""C"": 1, ""gamma"": ""scale"", ""kernel"": ""sigmoid""}",0.9906839734787433
MLP,"layers=(512, 512, 1024)  act=ReLU  drop=0.2  lr=0.01","{""layers"": ""(512, 512, 1024)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.01}",0.9906839734787433
MLP,"layers=(1024, 256)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(1024, 256)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9906753781649555
MLP,"layers=(1024, 256)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 256)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9906753781649555
MLP,"layers=(1024, 256)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 256)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9906753781649555
MLP,"layers=(1024, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9906753781649555
MLP,"layers=(1024, 1024, 512)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(1024, 1024, 512)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9906753781649555
MLP,"layers=(1024, 256)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 256)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9906753781649555
MLP,"layers=(1024, 512)  act=ReLU  drop=0.4  lr=0.01","{""layers"": ""(1024, 512)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.01}",0.9906750794529807
MLP,"layers=(512, 256, 256)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(512, 256, 256)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9906750249328821
MLP,"layers=(512, 256, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 256, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9906750249328821
MLP,"layers=(512, 256, 512)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(512, 256, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9906750249328821
MLP,"layers=(512, 256, 512)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 256, 512)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9906750249328821
MLP,"layers=(512, 1024, 512)  act=GELU  drop=0.4  lr=0.01","{""layers"": ""(512, 1024, 512)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.01}",0.9906750249328821
MLP,"layers=(256, 512)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(256, 512)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9906750249328821
MLP,"layers=(512, 256)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(512, 256)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9906750249328821
MLP,"layers=(256, 512)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(256, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9906750249328821
MLP,"layers=(512, 256)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 256)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9906750249328821
MLP,"layers=(512, 256)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(512, 256)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9906750249328821
MLP,"layers=(1024,)  act=ReLU  drop=0.2  lr=0.01","{""layers"": ""(1024,)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.01}",0.9906744891101108
MLP,"layers=(256,)  act=ReLU  drop=0.2  lr=0.01","{""layers"": ""(256,)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.01}",0.9906744298482177
MLP,"layers=(256, 512)  act=ReLU  drop=0.4  lr=0.01","{""layers"": ""(256, 512)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.01}",0.9906658392762244
SVM,C=1  gamma=scale  kernel=rbf,"{""C"": 1, ""gamma"": ""scale"", ""kernel"": ""rbf""}",0.9893938653054535
LogReg,C=0.001,"{""C"": 0.001}",0.9893849167595921
MLP,"layers=(512, 512, 256)  act=GELU  drop=0.4  lr=0.01","{""layers"": ""(512, 512, 256)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.01}",0.9893768385807401
MLP,"layers=(512, 512)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(512, 512)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893683001895601
LogReg,C=1,"{""C"": 1}",0.9893683001895601
MLP,"layers=(512, 512)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(512, 512)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893683001895601
MLP,"layers=(512, 512)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(512, 512)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893683001895601
MLP,"layers=(512, 512)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 512)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893683001895601
MLP,"layers=(512, 512)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 512)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893683001895601
MLP,"layers=(512, 512)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(512, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893683001895601
MLP,"layers=(1024, 512, 256)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 512, 256)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893682432669524
MLP,"layers=(256, 256, 1024)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(256, 256, 1024)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893677691085835
MLP,"layers=(1024,)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(1024,)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893595294293782
MLP,"layers=(1024,)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(1024,)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893595294293782
MLP,"layers=(1024,)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(1024,)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893595294293782
SVM,C=0.1  kernel=linear,"{""C"": 0.1, ""kernel"": ""linear""}",0.9893589390865082
SVM,C=0.01  kernel=linear,"{""C"": 0.01, ""kernel"": ""linear""}",0.9893589390865082
SVM,C=1  kernel=linear,"{""C"": 1, ""kernel"": ""linear""}",0.9893589390865082
SVM,C=100  kernel=linear,"{""C"": 100, ""kernel"": ""linear""}",0.9893589390865082
SVM,C=10  kernel=linear,"{""C"": 10, ""kernel"": ""linear""}",0.9893589390865082
SVM,C=10  gamma=scale  kernel=sigmoid,"{""C"": 10, ""gamma"": ""scale"", ""kernel"": ""sigmoid""}",0.9893589390865082
SVM,C=0.001  kernel=linear,"{""C"": 0.001, ""kernel"": ""linear""}",0.9893589390865082
MLP,"layers=(1024, 1024, 1024)  act=GELU  drop=0.4  lr=0.01","{""layers"": ""(1024, 1024, 1024)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.01}",0.9893588205627221
MLP,"layers=(512, 1024, 512)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(512, 1024, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893508748536972
MLP,"layers=(512, 1024, 512)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 1024, 512)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893508748536972
MLP,"layers=(256, 512)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(256, 512)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893508748536971
MLP,"layers=(256, 256, 512)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(256, 256, 512)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893508748536971
MLP,"layers=(1024, 256, 256)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 256, 256)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893508748536971
MLP,"layers=(1024, 256, 256)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(1024, 256, 256)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893508748536971
MLP,"layers=(512, 1024, 512)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(512, 1024, 512)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.989350815591804
MLP,"layers=(1024, 512)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 512)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893506401454099
MLP,"layers=(256, 1024)  act=ReLU  drop=0.4  lr=0.01","{""layers"": ""(256, 1024)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.01}",0.9893506401454099
SVM,C=1  gamma=auto  kernel=sigmoid,"{""C"": 1, ""gamma"": ""auto"", ""kernel"": ""sigmoid""}",0.9893506401454099
MLP,"layers=(1024, 512)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 512)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893506401454099
MLP,"layers=(1024, 512)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(1024, 512)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893506401454099
MLP,"layers=(256, 256, 512)  act=GELU  drop=0.4  lr=0.01","{""layers"": ""(256, 256, 512)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.01}",0.9893504006953283
MLP,"layers=(256, 256, 1024)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(256, 256, 1024)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893504006953282
MLP,"layers=(1024, 1024, 1024)  act=ReLU  drop=0.4  lr=0.01","{""layers"": ""(1024, 1024, 1024)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.01}",0.9893503461752294
MLP,"layers=(256, 1024)  act=GELU  drop=0.4  lr=0.01","{""layers"": ""(256, 1024)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.01}",0.9893498244228813
MLP,"layers=(1024, 1024)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 1024)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893418670459427
MLP,"layers=(1024, 1024)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(1024, 1024)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893418670459427
MLP,"layers=(512, 256, 256)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(512, 256, 256)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893418670459427
MLP,"layers=(512, 256, 256)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 256, 256)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893418670459427
MLP,"layers=(512, 256, 512)  act=GELU  drop=0.0  lr=0.0001","{""layers"": ""(512, 256, 512)"", ""act"": ""GELU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893418670459427
MLP,"layers=(1024, 512, 256)  act=GELU  drop=0.4  lr=0.0001","{""layers"": ""(1024, 512, 256)"", ""act"": ""GELU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893418670459427
MLP,"layers=(512, 512, 1024)  act=ReLU  drop=0.0  lr=0.0001","{""layers"": ""(512, 512, 1024)"", ""act"": ""ReLU"", ""drop"": 0.0, ""lr"": 0.0001}",0.9893418670459427
MLP,"layers=(512, 512, 1024)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(512, 512, 1024)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893418670459427
MLP,"layers=(512, 512, 1024)  act=ReLU  drop=0.2  lr=0.0001","{""layers"": ""(512, 512, 1024)"", ""act"": ""ReLU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893418670459427
MLP,"layers=(1024, 1024)  act=ReLU  drop=0.4  lr=0.0001","{""layers"": ""(1024, 1024)"", ""act"": ""ReLU"", ""drop"": 0.4, ""lr"": 0.0001}",0.9893418670459427
MLP,"layers=(1024, 256, 1024)  act=GELU  drop=0.2  lr=0.0001","{""layers"": ""(1024, 256, 1024)"", ""act"": ""GELU"", ""drop"": 0.2, ""lr"": 0.0001}",0.9893418670459427
