model,mean_f1,std_f1,mean_acc,std_acc
"MLP (1024, 2048) lr=0.01 do=0.5 act=GELU",0.986348824174001,0.0016406065802406222,0.9863333333333333,0.0016666666666666496
"MLP (2048, 512) lr=0.0001 do=0.5 act=GELU",0.986329756566387,0.001039973146949702,0.9863333333333333,0.0010000000000000009
"MLP (1024, 2048) lr=0.0001 do=0.5 act=ReLU",0.9860073115480452,0.0006380632538783293,0.986,0.0006666666666667043
"MLP (1024, 2048) lr=0.0001 do=0.5 act=GELU",0.9860052927491563,0.0006360294908658304,0.986,0.0006666666666667043
"MLP (512, 2048) lr=0.0001 do=0.0 act=ReLU",0.9856818588606113,0.0009683944991897842,0.9856666666666667,0.0010000000000000009
"MLP (2048, 512) lr=0.0001 do=0.5 act=ReLU",0.9856765375011511,0.00037471652950338274,0.9856666666666667,0.00033333333333335213
"MLP (512, 2048) lr=0.0001 do=0.5 act=ReLU",0.9856753498106197,0.00035468208237837695,0.9856666666666667,0.00033333333333335213
"MLP (512, 2048) lr=0.0001 do=0.5 act=GELU",0.985669729055267,0.00036030283773114125,0.9856666666666667,0.00033333333333335213
LogReg C=1,0.985667247834153,0.0003702619920586403,0.9856666666666667,0.00033333333333335213
"MLP (1024, 2048) lr=0.0001 do=0.0 act=ReLU",0.9856639175874495,0.0003660993414249525,0.9856666666666667,0.00033333333333335213
"MLP (2048, 2048) lr=0.0001 do=0.5 act=ReLU",0.9856629722589434,0.00030573144083778647,0.9856666666666667,0.00033333333333335213
"MLP (2048, 2048) lr=0.0001 do=0.5 act=GELU",0.9856629722589434,0.00030573144083778647,0.9856666666666667,0.00033333333333335213
"MLP (1024, 512) lr=0.0001 do=0.5 act=ReLU",0.9853510243525492,0.000624795445666404,0.9853333333333334,0.0006666666666666488
"MLP (512, 1024) lr=0.01 do=0.5 act=ReLU",0.9853505544189776,0.002645263059840419,0.9853333333333334,0.0026666666666666505
