model,mean_f1,std_f1,mean_acc,std_acc
"MLP (2048, 2048) lr=0.0001 do=0.5 act=GELU",0.9856629722589434,0.00030573144083778647,0.9856666666666667,0.00033333333333335213
"MLP (2048, 2048) lr=0.0001 do=0.5 act=ReLU",0.9856629722589434,0.00030573144083778647,0.9856666666666667,0.00033333333333335213
"MLP (512, 1024) lr=0.01 do=0.5 act=ReLU",0.9853485448495799,0.0013007477356939967,0.9853333333333334,0.001333333333333353
"MLP (512, 2048) lr=0.0001 do=0.5 act=GELU",0.9853411213308647,2.045360262337148e-05,0.9853333333333333,0.0
"MLP (1024, 2048) lr=0.0001 do=0.5 act=ReLU",0.9853398262487061,0.0006388449962708709,0.9853333333333334,0.0006666666666666488
"MLP (512, 2048) lr=0.0001 do=0.0 act=ReLU",0.9850079571183021,0.0002944927568807043,0.985,0.0003333333333332966
"MLP (512, 512) lr=0.0001 do=0.0 act=GELU",0.9850072119840032,0.0009803338771310899,0.985,0.0010000000000000009
"MLP (1024, 2048) lr=0.0001 do=0.5 act=GELU",0.9850049262094722,0.0003643220846947792,0.985,0.0003333333333332966
"MLP (2048, 512) lr=0.0001 do=0.5 act=GELU",0.9849997231205769,0.00037662133192967184,0.985,0.0003333333333332966
"MLP (512, 512) lr=0.0001 do=0.5 act=GELU",0.9846803201304493,0.00131152542766938,0.9846666666666666,0.001333333333333353
"MLP (512, 2048) lr=0.0001 do=0.5 act=ReLU",0.9846799944301544,2.8193094736228552e-05,0.9846666666666667,0.0
"MLP (2048, 2048) lr=0.0001 do=0.0 act=GELU",0.9846769139507572,0.0006320654062104136,0.9846666666666666,0.0006666666666666488
LogReg C=1,0.9846731714647128,0.0013643383614989069,0.9846666666666666,0.001333333333333353
"MLP (1024, 512) lr=0.01 do=0.5 act=GELU",0.9846577298592434,0.001980447549623565,0.9846666666666667,0.0020000000000000018
"MLP (1024, 1024) lr=0.01 do=0.5 act=GELU",0.984650523855044,0.0006386203523822687,0.9846666666666666,0.0006666666666666488
"MLP (512,) lr=0.0001 do=0.0 act=ReLU",0.9843572295090097,0.0009583023890490927,0.9843333333333333,0.0010000000000000009
"MLP (2048,) lr=0.0001 do=0.5 act=ReLU",0.9843514855511077,0.0009597879659592468,0.9843333333333333,0.0010000000000000009
"MLP (512, 2048) lr=0.0001 do=0.0 act=GELU",0.9843495313538551,0.0016268528438063146,0.9843333333333333,0.0016666666666666496
"MLP (512,) lr=0.0001 do=0.0 act=GELU",0.984346654112258,0.0009688777858009034,0.9843333333333333,0.0010000000000000009
"MLP (1024, 512) lr=0.0001 do=0.5 act=ReLU",0.9843445146598712,0.0009528320388459965,0.9843333333333333,0.0010000000000000009
"MLP (1024, 512) lr=0.0001 do=0.5 act=GELU",0.9843445146598712,0.0009528320388459965,0.9843333333333333,0.0010000000000000009
"MLP (512,) lr=0.0001 do=0.5 act=ReLU",0.9843415998100742,0.0016256451452730802,0.9843333333333333,0.0016666666666666496
"MLP (512,) lr=0.0001 do=0.5 act=GELU",0.9843415998100742,0.0016256451452730802,0.9843333333333333,0.0016666666666666496
LogReg C=0.001,0.9843404848020791,0.0016304655153541736,0.9843333333333333,0.0016666666666666496
"MLP (512, 512) lr=0.0001 do=0.5 act=ReLU",0.9843401394665668,0.0009809832472291724,0.9843333333333333,0.0010000000000000009
"MLP (2048,) lr=0.0001 do=0.0 act=ReLU",0.9843382819889905,0.0003643146026330868,0.9843333333333333,0.00033333333333335213
"MLP (1024, 512) lr=0.0001 do=0.0 act=ReLU",0.9843367285119997,0.0002961663594749919,0.9843333333333333,0.00033333333333335213
"MLP (2048, 2048) lr=0.0001 do=0.0 act=ReLU",0.984335984478363,0.0003696177367679132,0.9843333333333333,0.00033333333333335213
"MLP (1024, 2048) lr=0.01 do=0.5 act=GELU",0.984333894993057,0.0003103324610532754,0.9843333333333333,0.00033333333333335213
"MLP (2048, 2048) lr=0.01 do=0.5 act=ReLU",0.9843065669503318,0.0009609175974357731,0.9843333333333333,0.0010000000000000009
"MLP (512, 512) lr=0.0001 do=0.0 act=ReLU",0.984025284794283,0.001304323776017191,0.984,0.0013333333333332975
"MLP (1024,) lr=0.0001 do=0.5 act=ReLU",0.9840197418518642,0.0012852367800431086,0.984,0.0013333333333332975
"MLP (2048,) lr=0.0001 do=0.0 act=GELU",0.9840123582176548,3.8390831297308026e-05,0.984,0.0
"MLP (2048,) lr=0.0001 do=0.5 act=GELU",0.9840088148710189,0.0006362635266890515,0.984,0.0006666666666667043
"MLP (2048, 512) lr=0.0001 do=0.0 act=ReLU",0.9840075267528581,0.0007109367553116419,0.984,0.0006666666666667043
"MLP (2048, 1024) lr=0.0001 do=0.0 act=ReLU",0.9839968873222869,3.990835453943076e-05,0.984,0.0
"MLP (1024, 2048) lr=0.0001 do=0.0 act=GELU",0.9839933717160501,4.816410629748802e-05,0.984,0.0
"MLP (1024, 512) lr=0.01 do=0.5 act=ReLU",0.9839821903280908,3.293664298864574e-05,0.984,0.0
"MLP (1024,) lr=0.0001 do=0.0 act=ReLU",0.9836815872346908,0.0009470821628696502,0.9836666666666667,0.0010000000000000009
"MLP (1024,) lr=0.0001 do=0.0 act=GELU",0.9836815872346908,0.0009470821628696502,0.9836666666666667,0.0010000000000000009
"MLP (1024,) lr=0.0001 do=0.5 act=GELU",0.9836815872346908,0.0009470821628696502,0.9836666666666667,0.0010000000000000009
