model,mean_f1,std_f1
"MLP (2048,) lr=0.0001 do=0.0 act=GELU",0.9968013919616912,1.3995470920513675e-06
"MLP (2048,) lr=0.0001 do=0.2 act=GELU",0.9968013919616912,1.3995470920513675e-06
"MLP (2048,) lr=0.0001 do=0.4 act=GELU",0.9968013919616912,1.3995470920513675e-06
"MLP (2048,) lr=0.0001 do=0.0 act=ReLU",0.9965347215023241,0.00026807000645917567
"MLP (2048,) lr=0.0001 do=0.4 act=ReLU",0.9965347215023241,0.00026807000645917567
"MLP (2048,) lr=0.0001 do=0.2 act=ReLU",0.9965347215023241,0.00026807000645917567
LogReg C=0.01,0.9965347119492873,0.00026805668094975754
"MLP (512, 1024) lr=0.0001 do=0.4 act=GELU",0.9962680300508084,0.0010695132611240887
"MLP (1024, 2048) lr=0.0001 do=0.2 act=GELU",0.9960027798259609,0.0013333410604940976
"MLP (1024, 2048) lr=0.0001 do=0.4 act=GELU",0.9960027798259609,0.0013333410604940976
LogReg C=1,0.9960027745608226,0.0002638578292913918
"MLP (512,) lr=0.01 do=0.4 act=ReLU",0.9960020840476456,0.0013340559439188326
"MLP (1024, 1024) lr=0.0001 do=0.2 act=ReLU",0.9960020557728779,0.0002687567160972182
"MLP (1024, 1024) lr=0.0001 do=0.0 act=ReLU",0.9960020557728779,0.0002687567160972182
LogReg C=0.1,0.9960020538866415,0.0002645785034725012
"MLP (512, 1024) lr=0.0001 do=0.0 act=ReLU",0.9960013633841418,0.0013361799277907815
"MLP (512, 1024) lr=0.0001 do=0.0 act=GELU",0.9960013633841418,0.0013361799277907815
"MLP (512, 1024) lr=0.0001 do=0.4 act=ReLU",0.9960013633841418,0.0013361799277907815
"MLP (512, 1024) lr=0.0001 do=0.2 act=GELU",0.9960013633841418,0.0013361799277907815
"MLP (512, 1024) lr=0.0001 do=0.2 act=ReLU",0.9960013633841418,0.0013361799277907815
"MLP (512, 512) lr=0.0001 do=0.0 act=GELU",0.996000652171403,0.0008021353817185828
"MLP (512, 512) lr=0.0001 do=0.0 act=ReLU",0.996000652171403,0.0008021353817185828
"MLP (512, 512) lr=0.0001 do=0.2 act=GELU",0.996000652171403,0.0008021353817185828
"MLP (1024, 1024) lr=0.0001 do=0.4 act=GELU",0.9957360925505215,0.0010694830994756321
SVM C=100  kernel=linear,0.9957360870131857,2.8067792772201727e-06
SVM C=0.1  kernel=linear,0.9957360870131857,2.8067792772201727e-06
SVM C=1  kernel=linear,0.9957360870131857,2.8067792772201727e-06
SVM C=10  kernel=linear,0.9957360870131857,2.8067792772201727e-06
SVM C=0.01  kernel=linear,0.9957360870131857,2.8067792772201727e-06
LogReg C=0.001,0.9957353910024809,0.0005368437087164835
LogReg C=10,0.9957353872199749,0.0005312451701391385
LogReg C=100,0.9957353872199749,0.0005312451701391385
"MLP (1024,) lr=0.0001 do=0.0 act=GELU",0.9957347061484949,0.0010680814046266085
"MLP (1024,) lr=0.0001 do=0.2 act=GELU",0.9957347061484949,0.0010680814046266085
"MLP (1024,) lr=0.0001 do=0.4 act=GELU",0.9957347061484949,0.0010680814046266085
"MLP (512, 512) lr=0.0001 do=0.2 act=ReLU",0.9957346833819325,0.000536166592248033
"MLP (512, 2048) lr=0.0001 do=0.4 act=ReLU",0.9957346833819325,0.000536166592248033
"MLP (512,) lr=0.0001 do=0.2 act=GELU",0.9957346627530934,0.0005361459634090071
"MLP (512,) lr=0.0001 do=0.4 act=GELU",0.9957346627530934,0.0005361459634090071
"MLP (512,) lr=0.0001 do=0.0 act=GELU",0.9957346627530934,0.0005361459634090071
"MLP (1024, 1024) lr=0.0001 do=0.0 act=GELU",0.9957332687046556,0.001068085248304651
"MLP (512,) lr=0.01 do=0.4 act=GELU",0.9954700482520902,0.000260356524146077
"MLP (1024,) lr=0.0001 do=0.2 act=ReLU",0.9954694297275328,0.0008028049836644735
"MLP (1024,) lr=0.0001 do=0.4 act=ReLU",0.9954694297275328,0.0008028049836644735
"MLP (1024,) lr=0.0001 do=0.0 act=ReLU",0.9954694297275328,0.0008028049836644735
"MLP (1024, 1024) lr=0.0001 do=0.4 act=ReLU",0.9954687109700106,0.0008021015189646485
"MLP (512, 512) lr=0.01 do=0.4 act=ReLU",0.9954686844866584,0.0007979479034556647
"MLP (1024, 2048) lr=0.0001 do=0.0 act=GELU",0.995468022384496,0.001868098501958959
"MLP (512, 2048) lr=0.0001 do=0.4 act=GELU",0.9954680148290294,0.0002694980393450064
"MLP (512, 512) lr=0.0001 do=0.4 act=ReLU",0.9954680129225653,0.00026949613288085317
"MLP (2048, 2048) lr=0.0001 do=0.0 act=ReLU",0.9954679980034125,0.0008028144855626862
"MLP (1024, 512) lr=0.0001 do=0.2 act=ReLU",0.9954679979726632,0.0008028145163120337
"MLP (1024, 512) lr=0.0001 do=0.0 act=GELU",0.9954679979726632,0.0008028145163120337
"MLP (1024, 512) lr=0.0001 do=0.0 act=ReLU",0.9954679979726632,0.0008028145163120337
"MLP (512,) lr=0.0001 do=0.2 act=ReLU",0.9954679960864268,0.0008028126300756999
"MLP (512,) lr=0.0001 do=0.4 act=ReLU",0.9954679960864268,0.0008028126300756999
"MLP (512,) lr=0.0001 do=0.0 act=ReLU",0.9954679960864268,0.0008028126300756999
"MLP (1024, 1024) lr=0.0001 do=0.2 act=GELU",0.9954679960864268,0.0008028126300756999
"MLP (512, 512) lr=0.0001 do=0.4 act=GELU",0.9954673245780168,0.0008021220563705356
"MLP (1024, 2048) lr=0.0001 do=0.2 act=ReLU",0.995467313190044,0.001334044535389045
"MLP (512, 2048) lr=0.0001 do=0.2 act=GELU",0.9954673093665942,0.0002687925769098154
"MLP (1024, 2048) lr=0.0001 do=0.4 act=ReLU",0.9954672979380041,0.0013340597874290094
"MLP (2048, 512) lr=0.0001 do=0.0 act=ReLU",0.9954672906748073,0.0008035218141678735
"MLP (2048, 512) lr=0.0001 do=0.4 act=ReLU",0.9954672906748073,0.0008035218141678735
"MLP (2048, 512) lr=0.0001 do=0.2 act=ReLU",0.9954672906748073,0.0008035218141678735
"MLP (512, 2048) lr=0.01 do=0.4 act=ReLU",0.9954666097347297,0.00026668932205109463
"MLP (1024, 2048) lr=0.0001 do=0.0 act=ReLU",0.9954666002427032,0.0013347574827299313
"MLP (2048, 1024) lr=0.0001 do=0.4 act=ReLU",0.9954665547557028,0.0013348029697303199
"MLP (1024,) lr=0.01 do=0.0 act=GELU",0.9952055390821306,0.0010625003998591676
"MLP (512, 2048) lr=0.0001 do=0.2 act=ReLU",0.9952013481623627,0.0005361647060116992
"MLP (512, 2048) lr=0.0001 do=0.0 act=ReLU",0.9952013481623627,0.0005361647060116992
"MLP (512, 2048) lr=0.0001 do=0.0 act=GELU",0.9952013481623627,0.0005361647060116992
"MLP (1024, 512) lr=0.0001 do=0.4 act=ReLU",0.9952013294197601,0.0005361459634089516
"MLP (1024, 512) lr=0.0001 do=0.2 act=GELU",0.9952013294197601,0.0005361459634089516
"MLP (1024, 512) lr=0.0001 do=0.4 act=GELU",0.9952013294197601,0.0005361459634089516
"MLP (2048, 512) lr=0.0001 do=0.4 act=GELU",0.9952006106625648,0.001070201826410433
"MLP (2048, 512) lr=0.0001 do=0.2 act=GELU",0.9952006106625648,0.001070201826410433
"MLP (2048, 2048) lr=0.0001 do=0.4 act=ReLU",0.9952006106625648,0.001070201826410433
"MLP (512, 512) lr=0.01 do=0.2 act=ReLU",0.9952006105900469,3.539147144127064e-06
"MLP (512,) lr=0.01 do=0.2 act=GELU",0.9951999582398392,0.0016014526245092808
"MLP (512, 1024) lr=0.01 do=0.4 act=ReLU",0.9951999411012364,1.6831430138530842e-09
"MLP (2048, 1024) lr=0.0001 do=0.4 act=GELU",0.9951998862027998,0.0010681344168272378
"MLP (2048, 1024) lr=0.0001 do=0.0 act=ReLU",0.9951998862027998,0.0010681344168272378
"MLP (1024, 2048) lr=0.01 do=0.4 act=GELU",0.9951992548149475,0.000534074745912938
"MLP (2048, 2048) lr=0.0001 do=0.2 act=GELU",0.9951992147278906,0.001068805891736302
"MLP (2048, 2048) lr=0.0001 do=0.4 act=GELU",0.9951992147278906,0.001068805891736302
"MLP (2048, 512) lr=0.0001 do=0.0 act=GELU",0.9949346513245033,0.0008042424883489829
"MLP (2048, 2048) lr=0.0001 do=0.2 act=ReLU",0.9949339421096617,0.0008035332735074063
"MLP (2048, 2048) lr=0.0001 do=0.0 act=GELU",0.9949332572760655,0.0008028484399111857
"MLP (2048, 1024) lr=0.0001 do=0.2 act=ReLU",0.9949324988927013,0.0013355217269255815
"MLP (2048, 1024) lr=0.0001 do=0.2 act=GELU",0.9949324988927013,0.0013355217269255815
"MLP (2048, 1024) lr=0.0001 do=0.0 act=GELU",0.9949324988927013,0.0013355217269255815
"MLP (2048, 1024) lr=0.01 do=0.2 act=ReLU",0.9946685533037112,0.0005313669678523314
"MLP (512, 512) lr=0.01 do=0.0 act=ReLU",0.9944048568327625,0.0023965084974956197
"MLP (512, 1024) lr=0.01 do=0.4 act=GELU",0.9944041431371031,0.0002723428301192876
"MLP (1024, 2048) lr=0.01 do=0.2 act=GELU",0.9944027437444103,0.00026382390520374166
"MLP (1024, 2048) lr=0.01 do=0.0 act=GELU",0.9944026452781652,0.00026934613949580744
"MLP (2048, 2048) lr=0.01 do=0.2 act=ReLU",0.9944013402916447,0.00026952465105939405
"MLP (1024, 1024) lr=0.01 do=0.0 act=ReLU",0.994399667850396,0.0002641009487444057
kNN k=5 cosine,0.9943984011957239,0.0013347571415781578
"MLP (1024, 2048) lr=0.01 do=0.0 act=ReLU",0.9941395123859809,0.0005298882045269848
"MLP (512, 1024) lr=0.01 do=0.2 act=GELU",0.9941380153284876,0.0015980979725665478
"MLP (1024, 2048) lr=0.01 do=0.4 act=ReLU",0.994137451996963,1.346564829640684e-06
"MLP (1024, 512) lr=0.01 do=0.4 act=ReLU",0.994137400560759,0.0005291478791782933
"MLP (512, 2048) lr=0.01 do=0.2 act=GELU",0.9941353512897371,6.601911574088959e-07
"MLP (1024, 1024) lr=0.01 do=0.2 act=GELU",0.9941353262728257,0.0005355198881087375
"MLP (1024, 1024) lr=0.01 do=0.2 act=ReLU",0.9941345205778815,0.001602893731715127
kNN k=20 cosine,0.9941331100131692,0.0005347774717388565
"MLP (2048, 512) lr=0.01 do=0.4 act=GELU",0.9938783044423075,0.0002756803282897291
"MLP (512,) lr=0.01 do=0.0 act=ReLU",0.9938780411876889,0.0002508280650124206
"MLP (2048, 512) lr=0.01 do=0.0 act=GELU",0.9938776269698302,0.0002776914876506109
"MLP (2048, 1024) lr=0.01 do=0.4 act=ReLU",0.9938686938725168,0.0002688528875905427
"MLP (2048, 512) lr=0.01 do=0.4 act=ReLU",0.9938679206499837,0.001863940973317324
"MLP (1024, 512) lr=0.01 do=0.2 act=GELU",0.9938658875269596,0.0008007715543060234
kNN k=10 cosine,0.9938657753653031,0.000803538014286842
kNN k=15 cosine,0.9938643377892518,0.0013369094369391488
"MLP (2048, 1024) lr=0.01 do=0.2 act=GELU",0.9936024725278881,0.002129362687463332
"MLP (1024, 1024) lr=0.01 do=0.4 act=GELU",0.993601934126629,0.0016050676604728586
"MLP (2048, 2048) lr=0.01 do=0.4 act=GELU",0.9935998198720553,0.00052916296972777
"MLP (2048,) lr=0.01 do=0.0 act=ReLU",0.9935976500413418,0.0010716718953165394
"MLP (2048, 1024) lr=0.01 do=0.4 act=GELU",0.9935929905175256,0.002140331437868681
"MLP (512,) lr=0.01 do=0.2 act=ReLU",0.9935884792148143,0.0021419141834826405
"MLP (512, 2048) lr=0.01 do=0.4 act=GELU",0.9933505657243373,0.0007883767497046668
"MLP (512,) lr=0.01 do=0.0 act=GELU",0.9933488172172399,0.0002853130065333387
"MLP (1024,) lr=0.01 do=0.0 act=ReLU",0.9933464334269357,0.0023896419853094986
"MLP (2048, 1024) lr=0.01 do=0.0 act=ReLU",0.9933437733937767,0.0002589874270974568
"MLP (1024,) lr=0.01 do=0.4 act=GELU",0.9933345104503275,0.00026675947056725713
"MLP (2048, 2048) lr=0.01 do=0.0 act=ReLU",0.9930782261096001,0.0005300684947499579
"MLP (2048, 512) lr=0.01 do=0.2 act=GELU",0.9930767112755872,0.0015855325111646112
"MLP (1024, 1024) lr=0.01 do=0.0 act=GELU",0.9930754060321817,0.0015897319531960052
"MLP (2048, 512) lr=0.01 do=0.2 act=ReLU",0.9930676516987396,0.0021294505156223553
"MLP (512, 1024) lr=0.01 do=0.2 act=ReLU",0.9930665148814581,0.0010666965539742335
kNN k=15 euclidean,0.9928143708201675,0.0002688866286340019
"MLP (512, 2048) lr=0.01 do=0.0 act=ReLU",0.9928032379045382,0.00025600925294450017
"MLP (1024, 2048) lr=0.01 do=0.2 act=ReLU",0.9927964310285927,0.0013311106279576546
"MLP (512, 2048) lr=0.01 do=0.2 act=ReLU",0.9927948377142097,0.0002546243317825825
"MLP (512, 512) lr=0.01 do=0.4 act=GELU",0.99279159255821,0.0013368848586743365
kNN k=10 euclidean,0.9925476972443371,0.0010647133392419628
"MLP (1024, 1024) lr=0.01 do=0.4 act=ReLU",0.9925442894166803,0.0026527820262226
"MLP (512, 2048) lr=0.01 do=0.0 act=GELU",0.9925386514688359,0.002136326557541479
SVM C=10  gamma=scale  kernel=rbf,0.9922876729614456,0.0018691938467539915
SVM C=100  gamma=scale  kernel=rbf,0.9922876729614456,0.0018691938467539915
"MLP (1024,) lr=0.01 do=0.2 act=ReLU",0.9922768777737427,0.0018645346612245484
"MLP (512, 1024) lr=0.01 do=0.0 act=ReLU",0.99226636552301,0.0018654657577102385
SVM C=1  gamma=scale  kernel=rbf,0.9920251207774599,0.001606641662768249
"MLP (2048,) lr=0.01 do=0.4 act=GELU",0.9920079977595357,0.00213089229835578
"MLP (2048, 2048) lr=0.01 do=0.2 act=GELU",0.9920054573869466,2.6357592259329543e-06
"MLP (2048,) lr=0.01 do=0.2 act=ReLU",0.9920041090507283,0.002653607022825799
"MLP (2048,) lr=0.01 do=0.0 act=GELU",0.9920005922300723,0.0010614747309908856
"MLP (1024, 512) lr=0.01 do=0.2 act=ReLU",0.9919906454834542,0.0026772378852571443
"MLP (2048, 512) lr=0.01 do=0.0 act=ReLU",0.9917449990868876,0.0007937233969213531
"MLP (512, 512) lr=0.01 do=0.2 act=GELU",0.9917422082026743,0.0023881399243445567
"MLP (1024, 512) lr=0.01 do=0.4 act=GELU",0.9917421318586236,0.00026845285190979506
kNN k=5 euclidean,0.9917391334150403,0.0013299274629103297
"MLP (1024,) lr=0.01 do=0.4 act=ReLU",0.991504474173138,0.0031607056136715994
"MLP (1024,) lr=0.01 do=0.2 act=GELU",0.9915021477133252,0.0015685537326541876
kNN k=20 euclidean,0.9914845785138225,0.0015944723284736506
"MLP (2048,) lr=0.01 do=0.4 act=ReLU",0.9912162133235252,0.0002656402978349903
"MLP (512, 512) lr=0.01 do=0.0 act=GELU",0.9909522038167844,0.0015720000221443042
"MLP (512, 1024) lr=0.01 do=0.0 act=GELU",0.990949075119154,0.0026564471103447396
"MLP (2048, 1024) lr=0.01 do=0.0 act=GELU",0.9906612279811424,0.001345479448511322
"MLP (2048, 2048) lr=0.01 do=0.4 act=ReLU",0.990386574739593,0.0016159726512370298
"MLP (1024, 512) lr=0.01 do=0.0 act=GELU",0.9901359291621872,0.005061131043244349
"MLP (1024, 512) lr=0.01 do=0.0 act=ReLU",0.9898693550677093,0.0005255565407533136
"MLP (2048,) lr=0.01 do=0.2 act=GELU",0.9898546811503881,0.0016272418169939185
"MLP (2048, 2048) lr=0.01 do=0.0 act=GELU",0.9893431720418455,0.0005544883672201073
SVM C=10  gamma=auto  kernel=rbf,0.9877799780084291,0.0005296618850859081
SVM C=100  gamma=auto  kernel=rbf,0.9877799780084291,0.0005296618850859081
SVM C=1  gamma=auto  kernel=rbf,0.9869918243446962,0.0007994646321219379
SVM C=0.1  gamma=scale  kernel=rbf,0.9763204160347965,0.002579802557141797
SVM C=0.1  gamma=auto  kernel=rbf,0.9261991483378675,0.007053865366152601
SVM C=0.01  gamma=scale  kernel=rbf,0.48336680306027113,0.01012392310501159
SVM C=0.01  gamma=auto  kernel=rbf,0.3725701784128642,0.0013453952884071863
