model,mean_f1,std_f1
LogReg C=0.01,0.9912073929545591,0.00026165555100887694
LogReg C=1,0.9911969102168834,0.0002653115661715444
LogReg C=10,0.991195395965708,0.00026682581734688293
LogReg C=100,0.991195395965708,0.00026682581734688293
LogReg C=0.1,0.9909336768024803,0.0005366995253686668
"MLP (2048, 512) lr=0.0001 do=0.2 act=GELU",0.9904058854721602,0.0005339156063778883
"MLP (2048, 512) lr=0.0001 do=0.0 act=GELU",0.9904058854721602,0.0005339156063778883
"MLP (2048, 512) lr=0.0001 do=0.0 act=ReLU",0.9904031043173818,0.0010645018582293164
"MLP (2048, 512) lr=0.0001 do=0.2 act=ReLU",0.9904031043173818,0.0010645018582293164
"MLP (512, 1024) lr=0.0001 do=0.4 act=ReLU",0.990146909567267,0.0008029073220279792
SVM C=10  kernel=linear,0.9901459797351913,0.0008060769683661539
SVM C=0.1  kernel=linear,0.9901459797351913,0.0008060769683661539
SVM C=1  kernel=linear,0.9901459797351913,0.0008060769683661539
SVM C=0.01  kernel=linear,0.9901459797351913,0.0008060769683661539
SVM C=100  kernel=linear,0.9901459797351913,0.0008060769683661539
"MLP (512, 2048) lr=0.0001 do=0.4 act=ReLU",0.9901379605985765,0.00026180757396893073
"MLP (2048, 512) lr=0.0001 do=0.4 act=ReLU",0.9901378268607424,0.0013283874336029178
"MLP (512, 512) lr=0.0001 do=0.2 act=ReLU",0.989880888894199,0.0010702353570038459
"MLP (512, 512) lr=0.0001 do=0.4 act=GELU",0.9898780599275749,0.0010702736719379602
"MLP (512, 512) lr=0.0001 do=0.2 act=GELU",0.9898780425533231,0.0010702562976862562
LogReg C=0.001,0.9898767464875551,1.8876593919636697e-06
"MLP (2048,) lr=0.0001 do=0.4 act=ReLU",0.9898755338509855,0.0005312526235407011
"MLP (2048,) lr=0.0001 do=0.2 act=ReLU",0.9898755338509855,0.0005312526235407011
"MLP (2048,) lr=0.0001 do=0.0 act=ReLU",0.9898755338509855,0.0005312526235407011
"MLP (2048,) lr=0.0001 do=0.4 act=GELU",0.9898754708191801,0.0005270679112421295
"MLP (2048,) lr=0.0001 do=0.0 act=GELU",0.9898754708191801,0.0005270679112421295
"MLP (2048,) lr=0.0001 do=0.2 act=GELU",0.9898754708191801,0.0005270679112421295
"MLP (1024, 2048) lr=0.0001 do=0.4 act=ReLU",0.9898754569312717,0.0005381669693127478
"MLP (1024, 2048) lr=0.0001 do=0.2 act=GELU",0.9898746238937044,0.0010707238521699414
"MLP (512, 1024) lr=0.0001 do=0.4 act=GELU",0.9898733253029737,0.0005348113628956264
"MLP (512, 1024) lr=0.0001 do=0.0 act=GELU",0.9898726712338928,0.001068752451036603
"MLP (2048, 512) lr=0.0001 do=0.4 act=GELU",0.9898725767311012,0.0010672243474370013
"MLP (512, 1024) lr=0.0001 do=0.2 act=ReLU",0.9898719393735411,0.0005375579893442395
"MLP (512, 2048) lr=0.0001 do=0.2 act=ReLU",0.9898712958485689,0.0005284723239765143
"MLP (1024,) lr=0.0001 do=0.2 act=ReLU",0.9898677823308086,1.4860578268494073e-06
"MLP (1024,) lr=0.0001 do=0.0 act=ReLU",0.9898656584587567,6.378142251017849e-07
"MLP (1024,) lr=0.0001 do=0.0 act=GELU",0.98986422309324,0.0005326747703472412
"MLP (1024,) lr=0.0001 do=0.4 act=GELU",0.98986422309324,0.0005326747703472412
"MLP (1024,) lr=0.0001 do=0.2 act=GELU",0.98986422309324,0.0005326747703472412
"MLP (512, 512) lr=0.0001 do=0.4 act=ReLU",0.9896142453211765,0.0008035917839812057
"MLP (512, 1024) lr=0.0001 do=0.0 act=ReLU",0.989610231430687,0.0008006502465163212
"MLP (1024, 2048) lr=0.0001 do=0.0 act=ReLU",0.9896101841932816,0.0008034397073027333
"MLP (1024, 2048) lr=0.0001 do=0.0 act=GELU",0.9896087238618421,0.0008048238203074987
"MLP (1024, 2048) lr=0.0001 do=0.2 act=ReLU",0.9896080710202069,0.0002721777061331365
"MLP (1024, 2048) lr=0.0001 do=0.4 act=GELU",0.9896080467636688,0.0008055009184806949
"MLP (512, 512) lr=0.0001 do=0.0 act=GELU",0.9896079508583113,0.0013320303615962925
"MLP (512, 1024) lr=0.0001 do=0.2 act=GELU",0.9896060277243628,0.000802108941506563
"MLP (1024,) lr=0.0001 do=0.4 act=ReLU",0.9896004083557641,0.0002688600328714097
"MLP (512,) lr=0.0001 do=0.4 act=GELU",0.9895966816090818,0.0002652168544444722
"MLP (512, 512) lr=0.0001 do=0.0 act=ReLU",0.9893518413830092,0.0015992479927050551
"MLP (1024, 512) lr=0.0001 do=0.4 act=GELU",0.9893404830164236,0.0010699975231543424
"MLP (512, 2048) lr=0.0001 do=0.4 act=GELU",0.9893400454260197,2.778098572686627e-06
"MLP (512, 2048) lr=0.0001 do=0.2 act=GELU",0.9893385841956739,0.0005360762774904715
"MLP (1024,) lr=0.01 do=0.2 act=ReLU",0.9893336909163337,0.0010662597991122902
"MLP (512,) lr=0.0001 do=0.0 act=ReLU",0.9893328839491905,0.000529014514335735
"MLP (512,) lr=0.0001 do=0.0 act=GELU",0.9893321389135235,0.0005325399178080503
"MLP (512,) lr=0.0001 do=0.2 act=GELU",0.9893321389135235,0.0005325399178080503
"MLP (512,) lr=0.0001 do=0.4 act=ReLU",0.9893312429312648,5.73776933349146e-06
"MLP (2048, 2048) lr=0.0001 do=0.2 act=GELU",0.9890775045868876,0.0007972489105332881
"MLP (2048, 2048) lr=0.0001 do=0.0 act=ReLU",0.9890761675362156,0.0002680630595408018
"MLP (512, 2048) lr=0.0001 do=0.0 act=ReLU",0.989074804877054,0.0002624778468169886
"MLP (1024, 512) lr=0.0001 do=0.4 act=ReLU",0.9890746116645674,0.0008025699192011904
"MLP (1024, 1024) lr=0.0001 do=0.4 act=GELU",0.9890745868947652,0.0007998309623565292
"MLP (1024, 512) lr=0.0001 do=0.2 act=GELU",0.9890744933768907,0.0008040078836213937
"MLP (1024, 512) lr=0.0001 do=0.0 act=GELU",0.9890744933768907,0.0008040078836213937
"MLP (512, 2048) lr=0.0001 do=0.0 act=GELU",0.9890739589714481,0.00026734145749540694
"MLP (512,) lr=0.0001 do=0.2 act=ReLU",0.989064687298393,0.0002608178635382652
"MLP (512, 512) lr=0.01 do=0.4 act=ReLU",0.9890601260310592,0.0002716520091286534
"MLP (2048, 1024) lr=0.0001 do=0.0 act=GELU",0.9888181302459671,0.001059051337801431
"MLP (2048, 1024) lr=0.0001 do=0.4 act=GELU",0.9888140464087345,0.0010631351750340912
