features,model,mean_f1,std_f1
concat_pca37,"MLP (128,) lr=0.01 do=0.0 act=GELU",0.9909403305864151,0.009059669413584992
concat_pca113,"MLP (512,) lr=0.01 do=0.0 act=ReLU",0.9879672356117056,0.006044740436198515
concat_pca37,"MLP (256, 512) lr=0.0001 do=0.0 act=GELU",0.9879617166956207,0.006039221520113602
concat_pca166,"MLP (128,) lr=0.01 do=0.0 act=GELU",0.9879591088616877,0.006041829354046679
concat_pca113,"MLP (256, 256) lr=0.0001 do=0.0 act=GELU",0.9879591088616877,0.006041829354046679
concat_pca166,"MLP (128,) lr=0.01 do=0.0 act=ReLU",0.9879591088616877,0.006041829354046679
concat_pca113,"MLP (256, 256) lr=0.0001 do=0.0 act=ReLU",0.9879591088616877,0.006041829354046679
concat_pca166,"MLP (128, 512) lr=0.0001 do=0.0 act=GELU",0.9879591088616877,0.006041829354046679
concat_pca166,"MLP (512, 512) lr=0.0001 do=0.0 act=GELU",0.9879591088616877,0.006041829354046679
concat_pca166,"MLP (512, 512) lr=0.0001 do=0.0 act=ReLU",0.9879591088616877,0.006041829354046679
concat_pca166,"MLP (128, 512) lr=0.0001 do=0.0 act=ReLU",0.9879591088616877,0.006041829354046679
concat_pca166,"MLP (128, 128) lr=0.01 do=0.0 act=ReLU",0.9879493971947617,8.021301578786666e-06
concat_pca166,"MLP (256,) lr=0.01 do=0.0 act=ReLU",0.9879491993949825,0.012050800605017564
concat_raw,"MLP (2048, 2048) lr=0.0001 do=0.5 act=ReLU",0.9879413758931832,0.012058624106816795
concat_raw,"MLP (2048, 2048) lr=0.01 do=0.5 act=GELU",0.9879413758931832,0.012058624106816795
concat_pca37,"MLP (512, 256) lr=0.01 do=0.5 act=GELU",0.9879407996942822,0.006060138521452152
concat_pca113,"MLP (128, 256) lr=0.0001 do=0.5 act=ReLU",0.9879407996942822,0.006060138521452152
concat_pca37,"MLP (512, 256) lr=0.0001 do=0.5 act=GELU",0.9879407996942822,0.006060138521452152
concat_pca37,"MLP (512, 256) lr=0.0001 do=0.0 act=GELU",0.9879407996942822,0.006060138521452152
concat_pca166,LogReg C=0.001,0.9879282823936439,0.012071717606356114
concat_pca113,LogReg C=0.001,0.9879282823936439,0.012071717606356114
concat_pca37,LogReg C=0.001,0.9879282823936439,0.012071717606356114
concat_pca166,"MLP (512, 512) lr=0.0001 do=0.5 act=GELU",0.9849706158017246,0.0030533362940837194
concat_pca166,"MLP (512, 512) lr=0.0001 do=0.5 act=ReLU",0.9849706158017246,0.0030533362940837194
concat_pca37,"MLP (256, 128) lr=0.01 do=0.0 act=ReLU",0.9849497144161581,0.0030690532433281237
concat_pca166,"MLP (128,) lr=0.01 do=0.5 act=ReLU",0.9849496685028496,0.009051269712884724
concat_pca166,"MLP (128,) lr=0.01 do=0.5 act=GELU",0.9849496685028496,0.009051269712884724
concat_pca37,"MLP (512, 128) lr=0.0001 do=0.5 act=ReLU",0.9849418450010503,0.009059093214683955
concat_pca113,"MLP (256,) lr=0.01 do=0.5 act=ReLU",0.9849418450010503,0.009059093214683955
concat_pca113,"MLP (128, 256) lr=0.0001 do=0.0 act=ReLU",0.9849418450010503,0.009059093214683955
concat_raw,"MLP (2048, 1024) lr=0.01 do=0.5 act=GELU",0.9849418450010503,0.009059093214683955
concat_pca113,"MLP (512, 256) lr=0.01 do=0.5 act=GELU",0.9849373490019908,0.0030200694943497974
concat_pca37,kNN k=20 cosine,0.984934270417596,0.009077705630308186
concat_pca113,kNN k=20 cosine,0.984934270417596,0.009077705630308186
concat_raw,"MLP (512, 512) lr=0.01 do=0.5 act=GELU",0.9849293277004121,0.015070672299587917
backbone_convnextv2,"MLP (1024, 1024) lr=0.01 do=0.5 act=ReLU",0.9849293277004121,0.015070672299587917
concat_pca113,"MLP (256, 256) lr=0.0001 do=0.5 act=GELU",0.984928751501511,0.009072186714223274
concat_pca113,"MLP (128, 128) lr=0.0001 do=0.0 act=GELU",0.984928751501511,0.009072186714223274
concat_pca113,"MLP (128, 128) lr=0.0001 do=0.0 act=ReLU",0.984928751501511,0.009072186714223274
concat_pca113,"MLP (512, 512) lr=0.0001 do=0.0 act=GELU",0.984928751501511,0.009072186714223274
concat_pca166,kNN k=20 cosine,0.984928751501511,0.009072186714223274
concat_pca166,"MLP (512, 128) lr=0.01 do=0.5 act=GELU",0.984928751501511,0.009072186714223274
concat_pca113,"MLP (256, 512) lr=0.0001 do=0.0 act=GELU",0.984928751501511,0.009072186714223274
concat_pca37,"MLP (512, 256) lr=0.0001 do=0.0 act=ReLU",0.984928751501511,0.009072186714223274
concat_pca113,"MLP (512, 512) lr=0.0001 do=0.0 act=ReLU",0.984928751501511,0.009072186714223274
concat_pca37,"MLP (256, 256) lr=0.0001 do=0.0 act=ReLU",0.9849190398345853,0.00303837866175527
